Acurácia no conjunto de teste: 99.98%

Previsões para todas as imagens de teste:
Imagem: 9 (2950).jpg | Classe real: Cerscospora | Classe prevista: Cerscospora | Confiança: 100.00%
Imagem: 2 (2393).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2394).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2395).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2396).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2397).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2398).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2399).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (24).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (240).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2400).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2401).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2402).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2403).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2404).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2405).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2406).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2407).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2408).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2409).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (241).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2410).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2411).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2412).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2413).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2414).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2415).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2416).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2417).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2418).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2419).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (242).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2420).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2421).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2422).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2423).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2424).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2425).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2426).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2427).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2428).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2429).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (243).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2430).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2431).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2432).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2433).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2434).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2435).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2436).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2437).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2438).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2439).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (244).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2440).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2441).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2442).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2443).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2444).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2445).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2446).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2447).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2448).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2449).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (245).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2450).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2451).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2452).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2453).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2454).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2455).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2456).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2457).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2458).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2459).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (246).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2460).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2461).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2462).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2463).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2464).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2465).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2466).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2467).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2468).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2469).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (247).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2470).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2471).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2472).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2473).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2474).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2475).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2476).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2477).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2478).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2479).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (248).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2480).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2481).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2482).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2483).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2484).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2485).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2486).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2487).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2488).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2489).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (249).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2490).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2491).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2492).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2493).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2494).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2495).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2496).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2497).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2498).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2499).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (25).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (250).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2500).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2501).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2502).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2503).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2504).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2505).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2506).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2507).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2508).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2509).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (251).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2510).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2511).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2512).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2513).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2514).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2515).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2516).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2517).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2518).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2519).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (252).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2520).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2521).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2522).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2523).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2524).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2525).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2526).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2527).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2528).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2529).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (253).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2530).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2531).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2532).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2533).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2534).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2535).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2536).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2537).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2538).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2539).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (254).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2540).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2541).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2542).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2543).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2544).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2545).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2546).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2547).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2548).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2549).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (255).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2550).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2551).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2552).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2553).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2554).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2555).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2556).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2557).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2558).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2559).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (256).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2560).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2561).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2562).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2563).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2564).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2565).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2566).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2567).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2568).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2569).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (257).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2570).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2571).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2572).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2573).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2574).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2575).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2576).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2577).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2578).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2579).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (258).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2580).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2581).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2582).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2583).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2584).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2585).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2586).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2587).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2588).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2589).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (259).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2590).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2591).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2592).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2593).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2594).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2595).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2596).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2597).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2598).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2599).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (26).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (260).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2600).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2601).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2602).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2603).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2604).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2605).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2606).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2607).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2608).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2609).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (261).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2610).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2611).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2612).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2613).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2614).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2615).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2616).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2617).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2618).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2619).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (262).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2620).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2621).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2622).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2623).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2624).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2625).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2626).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2627).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2628).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2629).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (263).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2630).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2631).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2632).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2633).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2634).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2635).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2636).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2637).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2638).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2639).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (264).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2640).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2641).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2642).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2643).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2644).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2645).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2646).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2647).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
Imagem: 2 (2648).jpg | Classe real: Healthy | Classe prevista: Healthy | Confiança: 100.00%
